Symbol,Spot,Lot_Size,Near_Expiry,Near_Price,Near_DTE,Near_Premium,Near_Basis_Ann,Near_OI,Near_Vol,Near_BidAsk_bps,Far_Expiry,Far_Price,Far_DTE,Far_Premium,Far_Basis_Ann,Far_OI,Far_Vol,Far_BidAsk_bps,Spread_Raw,Spread_Diff,Theo_Spread,Spread_Deviation,Deviation_Pct,Potential_Gain,Est_Margin,Gain_to_Margin_Pct,Backwardation_Score,Liquidity_Score,DTE_Score,Composite_Score,Is_Backwardation,Classic_Setup,Third_Expiry,Third_Price,Third_DTE,Third_Premium,Third_vs_Far,Third_OI
OFSS,6605.0,75,30-MAR-2026,6587.0,9,-18.0,-11.05,1503225,109725,9.1,28-APR-2026,6560.0,38,-45.0,-6.54,175500,44025,15.2,-27.0,-27.0,34.25,-61.25,-0.9274,2025.0,98805.0,2.05,49.3,100,100,57.8,True,False,26-MAY-2026,6518.0,66.0,-87.0,-42.0,13050.0
OBEROIRLTY,1453.4,350,30-MAR-2026,1457.0,9,3.6,10.05,7288400,835450,7.5,28-APR-2026,1432.0,38,-21.4,-14.14,1075550,424900,16.1,-25.0,-25.0,7.54,-32.54,-2.2387,8750.0,101990.0,8.58,100.0,100,100,83.0,True,True,26-MAY-2026,1401.5,66.0,-51.9,-30.5,28350.0
VOLTAS,1348.5,375,30-MAR-2026,1347.2,9,-1.3,-3.91,10858875,1188750,3.0,28-APR-2026,1326.2,38,-22.3,-15.88,2799000,346500,15.1,-21.0,-21.0,6.99,-27.99,-2.0759,7875.0,101040.0,7.79,60.8,100,100,70.0,True,False,26-MAY-2026,1309.7,66.0,-38.8,-16.5,127125.0
BDL,1258.1,350,30-MAR-2026,1255.1,9,-3.0,-9.67,4419800,530600,10.4,28-APR-2026,1235.0,38,-23.1,-17.64,1271550,194250,18.6,-20.1,-20.1,6.52,-26.62,-2.1163,7035.0,87857.0,8.01,61.2,100,100,69.6,True,False,26-MAY-2026,1220.6,66.0,-37.5,-14.4,106750.0
ABB,6323.0,125,30-MAR-2026,6312.0,9,-11.0,-7.06,2024375,262375,7.1,28-APR-2026,6292.5,38,-30.5,-4.63,434250,83500,5.6,-19.5,-19.5,32.79,-52.29,-0.827,2437.5,157800.0,1.54,48.3,100,100,57.5,True,False,26-MAY-2026,6250.0,66.0,-73.0,-42.5,21000.0
DMART,3815.9,150,30-MAR-2026,3817.9,9,2.0,2.13,5658150,222750,4.7,28-APR-2026,3799.0,38,-16.9,-4.25,1310100,35100,13.2,-18.9,-18.9,19.79,-38.69,-1.0139,2835.0,114537.0,2.48,90.1,100,100,71.0,True,True,26-MAY-2026,3786.0,66.0,-29.9,-13.0,21750.0
MUTHOOTFIN,3304.9,275,30-MAR-2026,3290.2,9,-14.7,-18.04,3240325,1224025,7.0,28-APR-2026,3274.2,38,-30.7,-8.92,318450,200475,9.2,-16.0,-16.0,17.14,-33.14,-1.0027,4400.0,180961.0,2.43,50.0,100,100,60.1,True,False,26-MAY-2026,3270.0,66.0,-34.9,-4.2,31075.0
TIINDIA,2561.3,200,30-MAR-2026,2558.7,9,-2.6,-4.12,2727200,145000,6.6,28-APR-2026,2543.6,38,-17.7,-6.64,165200,19400,27.5,-15.1,-15.1,13.28,-28.38,-1.1081,3020.0,102348.0,2.95,51.1,100,100,59.8,True,False,26-MAY-2026,2565.0,66.0,3.7,21.4,10600.0
BLUESTARCO,1734.7,325,30-MAR-2026,1732.3,9,-2.4,-5.61,2061150,419250,6.9,28-APR-2026,1718.5,38,-16.2,-8.97,920400,141700,8.7,-13.8,-13.8,9.0,-22.8,-1.3141,4485.0,112599.5,3.98,53.1,100,100,62.3,True,False,26-MAY-2026,1733.7,66.0,-1.0,15.2,9425.0
RVNL,265.25,1525,30-MAR-2026,264.6,9,-0.65,-9.94,51964375,3905525,11.3,28-APR-2026,252.6,38,-12.65,-45.81,15672425,1849825,5.9,-12.0,-12.0,1.38,-13.38,-5.0426,18300.0,80703.0,22.68,80.0,100,100,92.7,True,False,26-MAY-2026,247.35,66.0,-17.9,-5.25,2212775.0
JUBLFOOD,454.45,1250,30-MAR-2026,455.7,9,1.25,11.16,25722500,1950000,6.6,28-APR-2026,444.0,38,-10.45,-22.09,4460000,720000,15.8,-11.7,-11.7,2.36,-14.06,-3.0931,14625.0,113925.0,12.84,100.0,100,100,90.6,True,True,26-MAY-2026,439.0,66.0,-15.45,-5.0,418750.0
CDSL,1198.6,475,30-MAR-2026,1198.7,9,0.1,0.34,10565425,1259700,10.8,28-APR-2026,1189.1,38,-9.5,-7.61,3471775,730550,15.1,-9.6,-9.6,6.22,-15.82,-1.3195,4560.0,113876.5,4.0,93.2,100,100,74.4,True,True,26-MAY-2026,1187.1,66.0,-11.5,-2.0,379525.0
HCLTECH,1341.7,350,30-MAR-2026,1330.0,9,-11.7,-35.37,31316950,1694350,3.8,28-APR-2026,1320.8,38,-20.9,-14.96,1446900,227850,10.6,-9.2,-9.2,6.96,-16.16,-1.2043,3220.0,93100.0,3.46,52.0,100,100,60.6,True,False,26-MAY-2026,1318.0,66.0,-23.7,-2.8,139650.0
PREMIERENE,856.65,575,30-MAR-2026,855.4,9,-1.25,-5.92,8776225,1357000,7.0,28-APR-2026,846.95,38,-9.7,-10.88,3866875,410550,10.6,-8.45,-8.45,4.44,-12.89,-1.505,4858.75,98371.0,4.94,55.1,100,100,63.9,True,False,26-MAY-2026,858.85,66.0,2.2,11.9,40250.0
PGEL,512.35,950,30-MAR-2026,507.75,9,-4.6,-36.41,13072000,1680550,7.9,28-APR-2026,499.95,38,-12.4,-23.25,1805950,495900,13.0,-7.8,-7.8,2.66,-10.46,-2.041,7410.0,96472.5,7.68,60.4,100,100,69.4,True,False,26-MAY-2026,493.65,66.0,-18.7,-6.3,375250.0
NUVAMA,1152.0,500,30-MAR-2026,1154.4,9,2.4,8.45,1937500,211000,13.9,28-APR-2026,1146.8,38,-5.2,-4.34,256500,34000,20.9,-7.6,-7.6,5.97,-13.57,-1.1783,3800.0,115440.0,3.29,91.8,100,100,72.9,True,True,26-MAY-2026,1143.0,66.0,-9.0,-3.8,11500.0
SUPREMEIND,3856.7,175,30-MAR-2026,3861.3,9,4.6,4.84,2221975,176225,11.7,28-APR-2026,3854.3,38,-2.4,-0.6,401275,50575,14.3,-7.0,-7.0,20.0,-27.0,-0.7001,1225.0,135145.5,0.91,87.0,100,100,67.7,True,True,26-MAY-2026,3890.0,66.0,33.3,35.7,1925.0
KFINTECH,916.0,500,30-MAR-2026,916.0,9,0.0,0.0,2026500,240500,12.0,28-APR-2026,910.05,38,-5.95,-6.24,418000,68000,17.0,-5.95,-5.95,4.75,-10.7,-1.1682,2975.0,91600.0,3.25,51.7,100,100,60.2,True,False,26-MAY-2026,899.6,66.0,-16.4,-10.45,66000.0
SIEMENS,3150.9,175,30-MAR-2026,3141.2,9,-9.7,-12.48,2431450,476000,8.6,28-APR-2026,3136.3,38,-14.6,-4.45,173775,74375,20.4,-4.9,-4.9,16.34,-21.24,-0.6741,857.5,109942.0,0.78,46.7,100,100,55.3,True,False,26-MAY-2026,3133.9,66.0,-17.0,-2.4,9975.0
SWIGGY,286.0,1300,30-MAR-2026,286.15,9,0.15,2.13,48269000,5129800,3.5,28-APR-2026,282.75,38,-3.25,-10.92,7658300,1631500,17.7,-3.4,-3.4,1.48,-4.88,-1.7074,4420.0,74399.0,5.94,97.1,100,100,76.9,True,True,26-MAY-2026,279.3,66.0,-6.7,-3.45,1349400.0
LTF,263.5,2250,30-MAR-2026,262.85,9,-0.65,-10.0,58250250,7195500,9.5,28-APR-2026,260.5,38,-3.0,-10.94,14980500,2515500,7.7,-2.35,-2.35,1.37,-3.72,-1.4104,5287.5,118282.5,4.47,54.1,100,100,63.5,True,False,26-MAY-2026,259.45,66.0,-4.05,-1.05,621000.0
IREDA,117.72,3450,30-MAR-2026,116.59,9,-1.13,-38.93,53871750,9380550,9.4,28-APR-2026,114.76,38,-2.96,-24.15,15569850,4309050,13.1,-1.83,-1.83,0.61,-2.44,-2.0731,6313.5,80447.1,7.85,60.7,100,100,68.8,True,False,26-MAY-2026,114.0,66.0,-3.72,-0.76,1649100.0
ASHOKLEY,167.65,5000,30-MAR-2026,167.6,9,-0.05,-1.21,140170000,24905000,7.8,28-APR-2026,166.76,38,-0.89,-5.1,19680000,5635000,12.0,-0.84,-0.84,0.87,-1.71,-1.0196,4200.0,167600.0,2.51,50.2,100,100,60.1,True,False,26-MAY-2026,165.91,66.0,-1.74,-0.85,2060000.0
PPLPHARMA,138.74,2625,30-MAR-2026,139.22,9,0.48,14.03,15348375,2517375,10.8,28-APR-2026,138.4,38,-0.34,-2.35,3031875,551250,13.7,-0.82,-0.82,0.72,-1.54,-1.1096,2152.5,73090.5,2.94,91.1,100,100,71.2,True,True,,,,,,
IRFC,95.5,4250,30-MAR-2026,95.3,9,-0.2,-8.49,56418750,5257250,7.3,28-APR-2026,94.57,38,-0.93,-9.35,21143750,3017500,12.7,-0.73,-0.73,0.5,-1.23,-1.283,3102.5,81005.0,3.83,52.8,100,100,61.0,True,False,26-MAY-2026,94.4,66.0,-1.1,-0.17,2477750.0
SRF,2479.9,200,30-MAR-2026,2476.9,9,-3.0,-4.91,3794600,423200,3.2,28-APR-2026,2476.3,38,-3.6,-1.39,225400,85600,13.3,-0.6,-0.6,12.86,-13.46,-0.5428,120.0,99076.0,0.12,45.4,100,100,53.8,True,False,26-MAY-2026,2499.0,66.0,19.1,22.7,19600.0
OIL,477.65,1400,30-MAR-2026,478.5,9,0.85,7.22,22881600,5322800,7.3,28-APR-2026,478.1,38,0.45,0.9,2259600,415800,12.5,-0.4,-0.4,2.48,-2.88,-0.6023,560.0,133980.0,0.42,46.0,100,100,54.5,True,False,26-MAY-2026,480.2,66.0,2.55,2.1,93800.0
MPHASIS,2082.1,275,30-MAR-2026,2085.5,9,3.4,6.62,5506325,415250,7.7,28-APR-2026,2085.2,38,3.1,1.43,191950,69850,15.3,-0.3,-0.3,10.8,-11.1,-0.533,82.5,114702.5,0.07,45.3,100,100,53.7,True,False,26-MAY-2026,2104.4,66.0,22.3,19.2,19525.0
WIPRO,189.81,3000,30-MAR-2026,189.27,9,-0.54,-11.54,159396000,15753000,6.3,28-APR-2026,189.2,38,-0.61,-3.09,49200000,6555000,5.3,-0.07,-0.07,0.98,-1.05,-0.5555,210.0,113562.0,0.18,45.6,100,100,54.0,True,False,26-MAY-2026,189.2,66.0,-0.61,0.0,2829000.0
TORNTPOWER,1452.9,425,30-MAR-2026,1459.0,9,6.1,17.03,3373650,450500,9.6,28-APR-2026,1459.0,38,6.1,4.03,208250,42075,24.7,0.0,0.0,7.53,-7.53,-0.5186,0.0,124015.0,0.0,22.6,100,100,46.8,False,False,,,,,,
IDEA,9.38,71475,30-MAR-2026,9.39,9,0.01,4.32,6218039100,366380850,10.6,28-APR-2026,9.45,38,0.07,7.17,911377725,208278150,21.2,0.06,0.06,0.05,0.01,0.1211,0.0,135087.75,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,9.49,66.0,0.11,0.04,66114375.0
BPCL,289.4,1975,30-MAR-2026,290.1,9,0.7,9.81,52795700,8423375,5.2,28-APR-2026,290.2,38,0.8,2.66,6365425,2648475,10.3,0.1,0.1,1.5,-1.4,-0.4841,0.0,114629.0,0.0,22.4,100,100,46.7,False,False,26-MAY-2026,291.9,66.0,2.5,1.7,1360775.0
YESBANK,18.69,31100,30-MAR-2026,18.7,9,0.01,2.17,909332900,64656900,10.7,28-APR-2026,18.85,38,0.16,8.22,199817500,35049700,10.6,0.15,0.15,0.1,0.05,0.284,0.0,117247.0,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,18.94,66.0,0.25,0.09,35578400.0
UNOMINDA,1065.0,550,30-MAR-2026,1063.6,9,-1.4,-5.33,5317400,437250,8.5,28-APR-2026,1063.8,38,-1.2,-1.08,123750,22550,27.3,0.2,0.2,5.52,-5.32,-0.4998,0.0,117018.0,0.0,22.5,100,100,46.7,False,False,26-MAY-2026,1046.5,66.0,-18.5,-17.3,9350.0
SUZLON,42.19,9025,30-MAR-2026,42.27,9,0.08,7.69,280199175,29015375,9.5,28-APR-2026,42.52,38,0.33,7.51,50521950,12662075,7.1,0.25,0.25,0.22,0.03,0.074,0.0,76748.6,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,42.5,66.0,0.31,-0.02,4711050.0
IDFCFIRSTB,63.32,9275,30-MAR-2026,63.33,9,0.01,0.64,388427725,20071100,6.3,28-APR-2026,63.76,38,0.44,6.67,80043250,9043125,12.5,0.43,0.43,0.33,0.1,0.1605,0.0,118274.8,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,64.08,66.0,0.76,0.32,24495275.0
NHPC,78.06,6400,30-MAR-2026,77.89,9,-0.17,-8.83,74988800,10425600,3.9,28-APR-2026,78.34,38,0.28,3.45,6188800,2265600,17.9,0.45,0.45,0.4,0.05,0.0579,0.0,100275.2,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,78.57,66.0,0.51,0.23,422400.0
NMDC,80.71,6750,30-MAR-2026,80.87,9,0.16,8.04,294637500,37611000,4.9,28-APR-2026,81.36,38,0.65,7.74,45036000,19608750,8.6,0.49,0.49,0.42,0.07,0.0885,0.0,109836.0,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,81.68,66.0,0.97,0.32,3523500.0
PNB,111.98,8000,30-MAR-2026,112.19,9,0.21,7.61,228560000,24304000,6.2,28-APR-2026,112.76,38,0.78,6.69,39656000,9152000,9.8,0.57,0.57,0.58,-0.01,-0.0096,0.0,180416.0,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,113.4,66.0,1.42,0.64,7232000.0
HUDCO,173.58,2775,30-MAR-2026,173.02,9,-0.56,-13.08,35997300,3371625,11.0,28-APR-2026,173.59,38,0.01,0.06,3321675,635475,19.6,0.57,0.57,0.9,-0.33,-0.1902,0.0,96342.45,0.0,0.0,100,100,40.0,False,False,,,,,,
NBCC,84.95,6500,30-MAR-2026,85.1,9,0.15,7.16,81633500,4803500,12.9,28-APR-2026,85.69,38,0.74,8.37,7286500,2028000,19.8,0.59,0.59,0.44,0.15,0.1759,0.0,111397.0,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,86.0,66.0,1.05,0.31,936000.0
INOXWIND,82.1,3575,30-MAR-2026,82.18,9,0.08,3.95,90930125,12533950,11.0,28-APR-2026,82.78,38,0.68,7.96,11246950,4440150,8.5,0.6,0.6,0.43,0.17,0.2122,0.0,59187.7,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,83.0,66.0,0.9,0.22,1076075.0
GMRAIRPORT,91.96,6975,30-MAR-2026,92.08,9,0.12,5.29,131443875,17012025,5.4,28-APR-2026,92.7,38,0.74,7.73,14138325,3334050,10.8,0.62,0.62,0.48,0.14,0.1556,0.0,129316.5,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,92.65,66.0,0.69,-0.05,1841400.0
IOC,145.79,4875,30-MAR-2026,146.08,9,0.29,8.07,92113125,13391625,4.8,28-APR-2026,146.72,38,0.93,6.13,7804875,4611750,10.2,0.64,0.64,0.76,-0.12,-0.0796,0.0,143052.0,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,146.88,66.0,1.09,0.16,1482000.0
MOTHERSON,112.73,6150,30-MAR-2026,112.21,9,-0.52,-18.71,133276650,13191750,7.1,28-APR-2026,112.87,38,0.14,1.19,7158600,2367750,10.6,0.66,0.66,0.58,0.08,0.0669,0.0,138830.1,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,112.88,66.0,0.15,0.01,1709700.0
HINDPETRO,335.4,2025,30-MAR-2026,335.15,9,-0.25,-3.02,56098575,13927950,7.5,28-APR-2026,336.0,38,0.6,1.72,10770975,5054400,22.3,0.85,0.85,1.74,-0.89,-0.2652,0.0,136080.0,0.0,21.3,100,100,46.4,False,False,26-MAY-2026,333.75,66.0,-1.65,-2.25,3061800.0
NYKAA,244.35,3125,30-MAR-2026,244.0,9,-0.35,-5.81,46925000,2968750,4.1,28-APR-2026,244.85,38,0.5,1.97,1796875,581250,14.3,0.85,0.85,1.27,-0.42,-0.1707,0.0,153031.25,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,245.1,66.0,0.75,0.25,87500.0
GAIL,145.05,3150,30-MAR-2026,145.18,9,0.13,3.63,90269550,7733250,9.6,28-APR-2026,146.06,38,1.01,6.69,10864350,3115350,17.8,0.88,0.88,0.75,0.13,0.0881,0.0,92017.8,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,146.9,66.0,1.85,0.84,1156050.0
IEX,121.05,3750,30-MAR-2026,120.69,9,-0.36,-12.06,63731250,3345000,9.9,28-APR-2026,121.61,38,0.56,4.44,11955000,1023750,17.3,0.92,0.92,0.63,0.29,0.2414,0.0,91207.5,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,122.38,66.0,1.33,0.77,4290000.0
BANKINDIA,151.05,5200,30-MAR-2026,151.22,9,0.17,4.56,49301200,10842000,4.0,28-APR-2026,152.16,38,1.11,7.06,3993600,2111200,9.9,0.94,0.94,0.78,0.16,0.1037,0.0,158246.4,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,153.0,66.0,1.95,0.84,462800.0
UNIONBANK,177.8,4425,30-MAR-2026,178.03,9,0.23,5.25,81840375,11863425,5.6,28-APR-2026,179.0,38,1.2,6.48,13673250,5310000,8.4,0.97,0.97,0.92,0.05,0.027,0.0,158415.0,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,179.9,66.0,2.1,0.9,6774675.0
360ONE,1047.2,500,30-MAR-2026,1049.0,9,1.8,6.97,2594500,227500,12.4,28-APR-2026,1050.0,38,2.8,2.57,67000,23000,24.8,1.0,1.0,5.43,-4.43,-0.4231,0.0,105000.0,0.0,22.1,100,100,46.6,False,False,26-MAY-2026,1050.2,66.0,3.0,0.2,7500.0
BANDHANBNK,158.6,3600,30-MAR-2026,158.87,9,0.27,6.9,85190400,9982800,3.1,28-APR-2026,159.87,38,1.27,7.69,12348000,3481200,16.3,1.0,1.0,0.82,0.18,0.1119,0.0,115106.4,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,159.63,66.0,1.03,-0.24,990000.0
ANGELONE,232.42,2500,30-MAR-2026,230.94,9,-1.48,-25.82,32597500,5560000,5.2,28-APR-2026,231.94,38,-0.48,-1.98,6325000,937500,9.5,1.0,1.0,1.21,-0.21,-0.0883,0.0,115970.0,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,230.5,66.0,-1.92,-1.44,2947500.0
CANBK,137.64,6750,30-MAR-2026,137.5,9,-0.14,-4.13,166185000,33318000,5.8,28-APR-2026,138.55,38,0.91,6.35,27459000,9396000,8.7,1.05,1.05,0.71,0.34,0.2443,0.0,187042.5,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,139.1,66.0,1.46,0.55,3226500.0
MANAPPURAM,262.15,3000,30-MAR-2026,262.55,9,0.4,6.19,52716000,6981000,9.5,28-APR-2026,263.7,38,1.55,5.68,7587000,1875000,17.1,1.15,1.15,1.36,-0.21,-0.0799,0.0,158220.0,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,264.2,66.0,2.05,0.5,93000.0
CROMPTON,245.45,1800,30-MAR-2026,245.8,9,0.35,5.78,43187400,1054800,10.2,28-APR-2026,246.95,38,1.5,5.87,4334400,262800,12.1,1.15,1.15,1.27,-0.12,-0.0501,0.0,88902.0,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,247.75,66.0,2.3,0.8,174600.0
TATASTEEL,196.85,5500,30-MAR-2026,197.22,9,0.37,7.62,157206500,34303500,4.1,28-APR-2026,198.43,38,1.58,7.71,28462500,9603000,7.6,1.21,1.21,1.02,0.19,0.0961,0.0,218273.0,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,199.38,66.0,2.53,0.95,13684000.0
ICICIPRULI,557.75,925,30-MAR-2026,558.7,9,0.95,6.91,16043200,622525,8.1,28-APR-2026,560.0,38,2.25,3.87,261775,94350,16.1,1.3,1.3,2.89,-1.59,-0.2855,0.0,103600.0,0.0,21.4,100,100,46.4,False,False,26-MAY-2026,570.5,66.0,12.75,10.5,15725.0
TATATECH,538.4,800,30-MAR-2026,540.0,9,1.6,12.05,9556000,647200,9.3,28-APR-2026,541.3,38,2.9,5.17,1399200,300800,17.6,1.3,1.3,2.79,-1.49,-0.2771,0.0,86608.0,0.0,21.4,100,100,46.4,False,False,,,,,,
PETRONET,260.6,1900,30-MAR-2026,260.65,9,0.05,0.78,29275200,7334000,11.5,28-APR-2026,262.1,38,1.5,5.53,7679800,2293300,7.6,1.45,1.45,1.35,0.1,0.0378,0.0,99598.0,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,263.3,66.0,2.7,1.2,171000.0
BHEL,263.05,2625,30-MAR-2026,263.0,9,-0.05,-0.77,106265250,14692125,5.7,28-APR-2026,264.5,38,1.45,5.29,12069750,2257500,11.3,1.5,1.5,1.36,0.14,0.0516,0.0,138862.5,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,263.65,66.0,0.6,-0.85,7208250.0
ONGC,268.95,2250,30-MAR-2026,268.75,9,-0.2,-3.02,120287250,11090250,7.4,28-APR-2026,270.25,38,1.3,4.64,6122250,1426500,7.4,1.5,1.5,1.39,0.11,0.0391,0.0,121612.5,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,271.4,66.0,2.45,1.15,531000.0
ETERNAL,232.6,2425,30-MAR-2026,232.64,9,0.04,0.7,203755775,19666750,2.1,28-APR-2026,234.23,38,1.63,6.73,37667525,5327725,10.2,1.59,1.59,1.21,0.38,0.165,0.0,113601.55,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,235.72,66.0,3.12,1.49,15342975.0
JIOFIN,241.4,2350,30-MAR-2026,241.65,9,0.25,4.2,134516350,7075850,6.2,28-APR-2026,243.25,38,1.85,7.36,21439050,2810600,2.1,1.6,1.6,1.25,0.35,0.1442,0.0,114327.5,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,244.25,66.0,2.85,1.0,11228300.0
ITC,306.95,1600,30-MAR-2026,306.8,9,-0.15,-1.98,137715200,15715200,4.9,28-APR-2026,308.5,38,1.55,4.85,20926400,3438400,6.5,1.7,1.7,1.59,0.11,0.0352,0.0,98720.0,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,309.45,66.0,2.5,0.95,3193600.0
KPITTECH,665.95,425,30-MAR-2026,667.7,9,1.75,10.66,7395425,919275,9.7,28-APR-2026,669.4,38,3.45,4.98,1121575,209100,17.9,1.7,1.7,3.45,-1.75,-0.2633,0.0,56899.0,0.0,21.3,100,100,46.4,False,False,26-MAY-2026,671.45,66.0,5.5,2.05,107950.0
ABCAPITAL,312.15,3100,30-MAR-2026,312.7,9,0.55,7.15,46270600,5521100,11.2,28-APR-2026,314.45,38,2.3,7.08,3918400,1466300,11.1,1.75,1.75,1.62,0.13,0.042,0.0,194959.0,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,313.5,66.0,1.35,-0.95,124000.0
FEDERALBNK,271.1,5000,30-MAR-2026,271.15,9,0.05,0.75,81040000,10055000,7.4,28-APR-2026,272.9,38,1.8,6.38,10170000,2165000,12.8,1.75,1.75,1.41,0.34,0.1269,0.0,272900.0,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,274.3,66.0,3.2,1.4,655000.0
BANKBARODA,280.35,2925,30-MAR-2026,280.7,9,0.35,5.06,84064500,10810800,3.6,28-APR-2026,282.5,38,2.15,7.37,16637400,2638350,5.3,1.8,1.8,1.45,0.35,0.1234,0.0,165262.5,0.0,0.0,100,100,40.0,False,False,26-MAY-2026,283.3,66.0,2.95,0.8,7113600.0
